Date,Is_Trading_Day
2023/3/15,Yes
2023/3/16,Yes
2023/3/17,Yes
2023/3/18,No
2023/3/19,No
2023/3/20,Yes
2023/3/21,Yes
2023/3/22,Yes
2023/3/23,Yes
2023/3/24,Yes
2023/3/25,No
2023/3/26,No
2023/3/27,Yes
2023/3/28,Yes
2023/3/29,Yes
2023/3/30,Yes
2023/3/31,Yes
2023/4/1,No
2023/4/2,No
2023/4/3,Yes
2023/4/4,Yes
2023/4/5,Yes
2023/4/6,Yes
2023/4/7,No
2023/4/8,No
2023/4/9,No
2023/4/10,Yes
2023/4/11,Yes
2023/4/12,Yes
2023/4/13,Yes
2023/4/14,Yes
2023/4/15,No
2023/4/16,No
2023/4/17,Yes
2023/4/18,Yes
2023/4/19,Yes
2023/4/20,Yes
2023/4/21,Yes
2023/4/22,No
2023/4/23,No
2023/4/24,Yes
2023/4/25,Yes
2023/4/26,Yes
2023/4/27,Yes
2023/4/28,Yes
2023/4/29,No
2023/4/30,No
2023/5/1,Yes
2023/5/2,Yes
2023/5/3,Yes
2023/5/4,Yes
2023/5/5,Yes
2023/5/6,No
2023/5/7,No
2023/5/8,Yes
2023/5/9,Yes
2023/5/10,Yes
2023/5/11,Yes
2023/5/12,Yes
2023/5/13,No
2023/5/14,No
2023/5/15,Yes
2023/5/16,Yes
2023/5/17,Yes
2023/5/18,Yes
2023/5/19,Yes
2023/5/20,No
2023/5/21,No
2023/5/22,Yes
2023/5/23,Yes
2023/5/24,Yes
2023/5/25,Yes
2023/5/26,Yes
2023/5/27,No
2023/5/28,No
2023/5/29,No
2023/5/30,Yes
2023/5/31,Yes
2023/6/1,Yes
2023/6/2,Yes
2023/6/3,No
2023/6/4,No
2023/6/5,Yes
2023/6/6,Yes
2023/6/7,Yes
2023/6/8,Yes
2023/6/9,Yes
2023/6/10,No
2023/6/11,No
2023/6/12,Yes
2023/6/13,Yes
2023/6/14,Yes
2023/6/15,Yes
2023/6/16,Yes
2023/6/17,No
2023/6/18,No
2023/6/19,No
2023/6/20,Yes
2023/6/21,Yes
2023/6/22,Yes
2023/6/23,Yes
2023/6/24,No
2023/6/25,No
2023/6/26,Yes
2023/6/27,Yes
2023/6/28,Yes
2023/6/29,Yes
2023/6/30,Yes
2023/7/1,No
2023/7/2,No
2023/7/3,Yes
2023/7/4,No
2023/7/5,Yes
2023/7/6,Yes
2023/7/7,Yes
2023/7/8,No
2023/7/9,No
2023/7/10,Yes
2023/7/11,Yes
2023/7/12,Yes
2023/7/13,Yes
2023/7/14,Yes
2023/7/15,No
2023/7/16,No
2023/7/17,Yes
2023/7/18,Yes
2023/7/19,Yes
2023/7/20,Yes
2023/7/21,Yes
2023/7/22,No
2023/7/23,No
2023/7/24,Yes
2023/7/25,Yes
2023/7/26,Yes
2023/7/27,Yes
2023/7/28,Yes
2023/7/29,No
2023/7/30,No
2023/7/31,Yes
2023/8/1,Yes
2023/8/2,Yes
2023/8/3,Yes
2023/8/4,Yes
2023/8/5,No
2023/8/6,No
2023/8/7,Yes
2023/8/8,Yes
2023/8/9,Yes
2023/8/10,Yes
2023/8/11,Yes
2023/8/12,No
2023/8/13,No
2023/8/14,Yes
2023/8/15,Yes
2023/8/16,Yes
2023/8/17,Yes
2023/8/18,Yes
2023/8/19,No
2023/8/20,No
2023/8/21,Yes
2023/8/22,Yes
2023/8/23,Yes
2023/8/24,Yes
2023/8/25,Yes
2023/8/26,No
2023/8/27,No
2023/8/28,Yes
2023/8/29,Yes
2023/8/30,Yes
2023/8/31,Yes
2023/9/1,Yes
2023/9/2,No
2023/9/3,No
2023/9/4,No
2023/9/5,Yes
2023/9/6,Yes
2023/9/7,Yes
2023/9/8,Yes
2023/9/9,No
2023/9/10,No
2023/9/11,Yes
2023/9/12,Yes
2023/9/13,Yes
2023/9/14,Yes
2023/9/15,Yes
2023/9/16,No
2023/9/17,No
2023/9/18,Yes
2023/9/19,Yes
2023/9/20,Yes
2023/9/21,Yes
2023/9/22,Yes
2023/9/23,No
2023/9/24,No
2023/9/25,Yes
